0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
222.0,-1.0,622.0,33.0,56.0,149.0,0.9858669638633728,-1.0,-1.0,-1.0,622.0,33.0,0.0,0.0,-1.0
222.0,-1.0,658.0,22.0,35.0,138.0,0.5750694274902344,-1.0,-1.0,-1.0,658.0,22.0,0.0,0.0,-1.0
223.0,-1.0,623.0,34.0,54.0,150.0,0.9887259602546692,-1.0,-1.0,-1.0,623.0,34.0,0.0,0.0,-1.0
224.0,-1.0,621.0,37.0,55.0,154.0,0.9747767448425293,-1.0,-1.0,-1.0,621.0,37.0,0.0,0.0,-1.0
224.0,-1.0,658.0,16.0,37.0,120.0,0.6063737273216248,-1.0,-1.0,-1.0,658.0,16.0,0.0,0.0,-1.0
225.0,-1.0,622.0,41.0,52.0,151.0,0.9707456231117249,-1.0,-1.0,-1.0,622.0,41.0,0.0,0.0,-1.0
225.0,-1.0,654.0,23.0,47.0,129.0,0.6495590806007385,-1.0,-1.0,-1.0,654.0,23.0,0.0,0.0,-1.0
225.0,-1.0,640.0,27.0,47.0,151.0,0.5272911190986633,-1.0,-1.0,-1.0,640.0,27.0,0.0,0.0,-1.0
226.0,-1.0,622.0,42.0,55.0,157.0,0.9423618316650391,-1.0,-1.0,-1.0,622.0,42.0,0.0,0.0,-1.0
226.0,-1.0,634.0,30.0,54.0,163.0,0.7797421813011169,-1.0,-1.0,-1.0,634.0,30.0,0.0,0.0,-1.0
227.0,-1.0,622.0,43.0,54.0,154.0,0.959663987159729,-1.0,-1.0,-1.0,622.0,43.0,0.0,0.0,-1.0
227.0,-1.0,637.0,32.0,51.0,158.0,0.7281696796417236,-1.0,-1.0,-1.0,637.0,32.0,0.0,0.0,-1.0
227.0,-1.0,655.0,25.0,48.0,116.0,0.6072703003883362,-1.0,-1.0,-1.0,655.0,25.0,0.0,0.0,-1.0
228.0,-1.0,618.0,42.0,62.0,159.0,0.9355783462524414,-1.0,-1.0,-1.0,618.0,42.0,0.0,0.0,-1.0
228.0,-1.0,631.0,38.0,65.0,153.0,0.5447033047676086,-1.0,-1.0,-1.0,631.0,38.0,0.0,0.0,-1.0
229.0,-1.0,618.0,44.0,58.0,157.0,0.9480011463165283,-1.0,-1.0,-1.0,618.0,44.0,0.0,0.0,-1.0
229.0,-1.0,657.0,28.0,49.0,120.0,0.7325926423072815,-1.0,-1.0,-1.0,657.0,28.0,0.0,0.0,-1.0
230.0,-1.0,618.0,43.0,56.0,158.0,0.9640225172042847,-1.0,-1.0,-1.0,618.0,43.0,0.0,0.0,-1.0
230.0,-1.0,657.0,29.0,48.0,126.0,0.7594960331916809,-1.0,-1.0,-1.0,657.0,29.0,0.0,0.0,-1.0
230.0,-1.0,646.0,33.0,47.0,152.0,0.7160129547119141,-1.0,-1.0,-1.0,646.0,33.0,0.0,0.0,-1.0
230.0,-1.0,634.0,36.0,47.0,160.0,0.5259140729904175,-1.0,-1.0,-1.0,634.0,36.0,0.0,0.0,-1.0
231.0,-1.0,617.0,45.0,57.0,155.0,0.9596813321113586,-1.0,-1.0,-1.0,617.0,45.0,0.0,0.0,-1.0
231.0,-1.0,643.0,34.0,50.0,152.0,0.8462888598442078,-1.0,-1.0,-1.0,643.0,34.0,0.0,0.0,-1.0
231.0,-1.0,651.0,28.0,56.0,133.0,0.8424050211906433,-1.0,-1.0,-1.0,651.0,28.0,0.0,0.0,-1.0
232.0,-1.0,619.0,44.0,56.0,157.0,0.986403226852417,-1.0,-1.0,-1.0,619.0,44.0,0.0,0.0,-1.0
232.0,-1.0,655.0,26.0,52.0,135.0,0.9204179048538208,-1.0,-1.0,-1.0,655.0,26.0,0.0,0.0,-1.0
232.0,-1.0,633.0,39.0,51.0,153.0,0.88554447889328,-1.0,-1.0,-1.0,633.0,39.0,0.0,0.0,-1.0
233.0,-1.0,618.0,43.0,61.0,158.0,0.984524667263031,-1.0,-1.0,-1.0,618.0,43.0,0.0,0.0,-1.0
233.0,-1.0,657.0,24.0,50.0,136.0,0.9004864692687988,-1.0,-1.0,-1.0,657.0,24.0,0.0,0.0,-1.0
234.0,-1.0,620.0,46.0,62.0,156.0,0.9704198241233826,-1.0,-1.0,-1.0,620.0,46.0,0.0,0.0,-1.0
